date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:00:24	86748/86748	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Oct%202019%2015:30:18%20GMT	https://projects.invisionapp.com/share/RNU331O8QXT	C:/My%20Web%20Sites/colll/projects.invisionapp.com/share/RNU331O8QXT.html	(from )
21:00:24	177/177	---MCZ	200	added ('OK')	text/plain	etag:W/%225d9652ac-16b%22	https://projects.invisionapp.com/robots.txt		(from )
21:00:25	411/411	---M--	200	added ('OK')	image/png	etag:%222648d8282b004b7ea54ecc93dab3cb2a%22	https://static.invisionapp-cdn.com/spa/cfprojects/common/img/favicon-16x16.2648d8282b.png	C:/My%20Web%20Sites/colll/static.invisionapp-cdn.com/spa/cfprojects/common/img/favicon-16x16.2648d8282b.png	(from https://projects.invisionapp.com/share/RNU331O8QXT)
21:00:25	783/783	---M--	200	added ('OK')	image/png	etag:%2294899e98c650ef8f30dcb433740696b2%22	https://static.invisionapp-cdn.com/spa/cfprojects/common/img/favicon-32x32.94899e98c6.png	C:/My%20Web%20Sites/colll/static.invisionapp-cdn.com/spa/cfprojects/common/img/favicon-32x32.94899e98c6.png	(from https://projects.invisionapp.com/share/RNU331O8QXT)
21:00:25	93627/93627	---MCZ	200	added ('OK')	text/css	etag:W/%229c07fe7be24601d8717596e55e980412%22	https://static.invisionapp-cdn.com/spa/cfprojects/share/lib/vendor.min.513d9d84f8.css	C:/My%20Web%20Sites/colll/static.invisionapp-cdn.com/spa/cfprojects/share/lib/vendor.min.513d9d84f8.css	(from https://projects.invisionapp.com/share/RNU331O8QXT)
21:00:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2004%20Oct%202019%2015:30:25%20GMT	http://cdn.optimizely.com/js/10316326513.js	C:/My%20Web%20Sites/colll/cdn.optimizely.com/js/10316326513.6.delayed	(from https://projects.invisionapp.com/share/RNU331O8QXT)
21:00:27	872309/872309	---MCZ	200	added ('OK')	text/css	etag:W/%22ce03f178ae8ab6de447a7c52ab4dd352%22	https://static.invisionapp-cdn.com/spa/cfprojects/share/lib/style.min.fba8fdc6b7.css	C:/My%20Web%20Sites/colll/static.invisionapp-cdn.com/spa/cfprojects/share/lib/style.min.fba8fdc6b7.css	(from https://projects.invisionapp.com/share/RNU331O8QXT)
21:00:27	374047/374047	---M-Z	200	added ('OK')	text/javascript	etag:%22a76b6c842b5a17c20f4cd8c2e80f0520%22	https://cdn.optimizely.com/js/10316326513.js	C:/My%20Web%20Sites/colll/cdn.optimizely.com/js/10316326513.js	(from https://projects.invisionapp.com/share/RNU331O8QXT)
21:00:28	905110/905110	---MCZ	200	added ('OK')	application/javascript	etag:W/%224a51cacd1592f8e7c1cec824f77c6c59%22	https://static.invisionapp-cdn.com/spa/cfprojects/share/lib/vendor.min.4a51cacd15.js	C:/My%20Web%20Sites/colll/static.invisionapp-cdn.com/spa/cfprojects/share/lib/vendor.min.4a51cacd15.js	(from https://projects.invisionapp.com/share/RNU331O8QXT)
21:00:33	1369925/1369925	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ab681dd7a354de03c510e33a79c0e294%22	https://static.invisionapp-cdn.com/spa/cfprojects/share/lib/invision.min.ab681dd7a3.js	C:/My%20Web%20Sites/colll/static.invisionapp-cdn.com/spa/cfprojects/share/lib/invision.min.ab681dd7a3.js	(from https://projects.invisionapp.com/share/RNU331O8QXT)
